gamma,k,fingerprint_length,n_recipients,sk,id,code,embedding_ratio,experiment_no,attack_strength,detection_confidence,accuracy,hellinger_distance,hellinger_distance_remaining,marital-status_relationship,marital-status_sex,relationship_sex,income_relationship,education_education-num,age_marital-status,education-num_occupation,age_relationship
2,300,128,20,100,0,tardos,0.5,0,0.1,1.0,0.875,0.1539931020354173,0.0238381946562507,0.0199178818185737,0.0033469179439977,0.0183469297585728,0.0595070384320896,,,0.010132127171368,
2,300,128,20,100,0,tardos,0.5,1,0.1,1.0,0.875,0.1489564347709934,0.0180266555049924,0.0199178818185737,0.0033469179439977,0.0183469297585728,0.0595070384320896,0.00108641701987,0.0531907601071515,0.010132127171368,0.087056121438532
2,300,128,20,100,0,tardos,0.5,2,0.1,1.0,0.875,0.1532552451214766,0.0229868212940114,0.0199178818185737,0.0033469179439977,0.0183469297585728,0.0595070384320896,0.00108641701987,0.0531907601071515,,0.087056121438532
2,300,128,20,100,0,tardos,0.5,0,0.2,1.0,0.8125,0.2157883725338508,0.0197354656673135,0.0199178818185737,0.0033469179439977,0.0183469297585728,0.0595070384320896,,,0.010132127171368,
2,300,128,20,100,0,tardos,0.5,1,0.2,1.0,0.8125,0.214003027883372,0.0175037848542149,,,0.0183469297585728,0.0595070384320896,0.00108641701987,,0.010132127171368,0.087056121438532
2,300,128,20,100,0,tardos,0.5,2,0.2,1.0,0.8125,0.2105113072436495,0.0131391340545619,0.0199178818185737,0.0033469179439977,0.0183469297585728,0.0595070384320896,0.00108641701987,0.0531907601071515,,0.087056121438532
2,300,128,20,100,0,tardos,0.5,0,0.3,1.0,0.75,0.2818033104999077,0.0206408779544196,0.0199178818185737,0.0033469179439977,0.0183469297585728,0.0595070384320896,,,0.010132127171368,
2,300,128,20,100,0,tardos,0.5,1,0.3,1.0,0.75,0.280386579148233,0.0187089715657722,,,0.0183469297585728,0.0595070384320896,0.00108641701987,,,0.087056121438532
2,300,128,20,100,0,tardos,0.5,2,0.3,1.0,0.75,0.2766503557822616,0.0136141215212658,,0.0033469179439977,,,0.00108641701987,0.0531907601071515,,
2,300,128,20,100,0,tardos,0.5,0,0.4,1.0,0.625,0.4142670962891428,0.0237784938152381,0.0199178818185737,0.0033469179439977,0.0183469297585728,,,,0.010132127171368,
2,300,128,20,100,0,tardos,0.5,1,0.4,1.0,0.625,0.4135532258435084,0.0225887097391806,,,0.0183469297585728,0.0595070384320896,,,,
2,300,128,20,100,0,tardos,0.5,2,0.4,1.0,0.625,0.4087859649201002,0.0146432748668337,,0.0033469179439977,,,,0.0531907601071515,,
2,300,128,20,100,0,tardos,0.5,0,0.5,1.0,0.5,0.5381555553718911,0.0103333329397665,0.0199178818185737,0.0033469179439977,0.0183469297585728,,,,,
2,300,128,20,100,0,tardos,0.5,1,0.5,1.0,0.5,0.5457072123481773,0.0265154550318086,,,,,,,,
2,300,128,20,100,0,tardos,0.5,2,0.5,1.0,0.5,0.5415398660749838,0.0175854273035366,,,,,,0.0531907601071515,,
2,300,128,20,100,0,tardos,0.5,0,0.6,1.0,0.4375,0.6032021484842696,0.0080053712106739,,,0.0183469297585728,,,,,
2,300,128,20,100,0,tardos,0.5,1,0.6,1.0,0.4375,0.6122907452882627,0.0307268632206565,,,,,,,,
2,300,128,20,100,0,tardos,0.5,2,0.6,1.0,0.4375,0.608074115809684,0.0201852895242098,,,,,,,,
2,300,128,20,100,0,tardos,0.5,0,0.7,1.0,0.375,0.6687356612119496,0.0062069836358489,,,0.0183469297585728,,,,,
2,300,128,20,100,0,tardos,0.5,1,0.7,1.0,0.375,0.6785841628626994,0.0357524885880981,,,,,,,,
2,300,128,20,100,0,tardos,0.5,2,0.7,1.0,0.375,0.6739279134721746,0.0217837404165238,,,,,,,,
2,300,128,20,100,0,tardos,0.5,0,0.8,1.0,0.25,0.801179118132563,0.0058955906628151,,,,,,,,
2,300,128,20,100,0,tardos,0.5,1,0.8,1.0,0.25,0.8107197720005381,0.0535988600026901,,,,,,,,
2,300,128,20,100,0,tardos,0.5,2,0.8,1.0,0.25,0.8056069035451283,0.0280345177256418,,,,,,,,
2,300,128,20,100,0,tardos,0.5,0,0.9,0.546875,0.125,0.9336164487351388,0.0042467310270844,,,,,,,,
2,300,128,20,100,0,tardos,0.5,1,0.9,0.6484375,0.125,0.9427439378778272,0.1411590681674056,,,,,,,,
2,300,128,20,100,0,tardos,0.5,2,0.9,0.875,0.125,0.9337065824255631,0.0055987363834483,,,,,,,,
2,300,128,20,101,0,tardos,0.5,0,0.1,1.0,0.875,0.1522869435717628,0.0218695502751109,0.0194371141396546,0.0054940560272754,0.0169303773189408,0.0513001963034128,0.0009522060884309,0.0574741230360699,,0.0744657961972845
2,300,128,20,101,0,tardos,0.5,1,0.1,1.0,0.875,0.1527567718725052,0.0224116598528906,0.0194371141396546,0.0054940560272754,0.0169303773189408,0.0513001963034128,0.0009522060884309,,0.0078757853005018,
2,300,128,20,101,0,tardos,0.5,2,0.1,1.0,0.875,0.1518673865709349,0.0213854460433864,0.0194371141396546,0.0054940560272754,0.0169303773189408,0.0513001963034128,0.0009522060884309,0.0574741230360699,,0.0744657961972845
2,300,128,20,101,0,tardos,0.5,0,0.2,1.0,0.8125,0.2102505480994335,0.0128131851242919,0.0194371141396546,0.0054940560272754,0.0169303773189408,0.0513001963034128,0.0009522060884309,0.0574741230360699,,0.0744657961972845
2,300,128,20,101,0,tardos,0.5,1,0.2,1.0,0.8125,0.2188456019075,0.023557002384375,,0.0054940560272754,,,0.0009522060884309,,0.0078757853005018,
2,300,128,20,101,0,tardos,0.5,2,0.2,1.0,0.8125,0.2181683715528494,0.0227104644410617,0.0194371141396546,0.0054940560272754,0.0169303773189408,0.0513001963034128,0.0009522060884309,0.0574741230360699,,0.0744657961972845
2,300,128,20,101,0,tardos,0.5,0,0.3,1.0,0.75,0.2763393781344284,0.0131900610924024,,0.0054940560272754,,,0.0009522060884309,0.0574741230360699,,
2,300,128,20,101,0,tardos,0.5,1,0.3,1.0,0.75,0.2854999591450941,0.0256817624705829,,,,,0.0009522060884309,,0.0078757853005018,
2,300,128,20,101,0,tardos,0.5,2,0.3,1.0,0.75,0.2848227287904434,0.0247582665324229,0.0194371141396546,,,0.0513001963034128,0.0009522060884309,0.0574741230360699,,0.0744657961972845
2,300,128,20,101,0,tardos,0.5,0,0.4,1.0,0.625,0.4084158939716297,0.0140264899527161,,0.0054940560272754,,,,0.0574741230360699,,
2,300,128,20,101,0,tardos,0.5,1,0.4,1.0,0.625,0.4175764749822954,0.0292941249704923,,,,,,,0.0078757853005018,
2,300,128,20,101,0,tardos,0.5,2,0.4,1.0,0.625,0.4176247466697259,0.0293745777828765,0.0194371141396546,,,0.0513001963034128,,0.0574741230360699,,0.0744657961972845
2,300,128,20,101,0,tardos,0.5,0,0.5,1.0,0.5,0.5413377111901716,0.0171522382646533,,,,,,0.0574741230360699,,
2,300,128,20,101,0,tardos,0.5,1,0.5,1.0,0.5,0.5421938085481812,0.0189867326032457,,,,,,,,
2,300,128,20,101,0,tardos,0.5,2,0.5,1.0,0.5,0.5499810366856686,0.0356736500407182,,,,,,0.0574741230360699,,
2,300,128,20,101,0,tardos,0.5,0,0.6,1.0,0.4375,0.6078166115938809,0.019541528984702,,,,,,,,
2,300,128,20,101,0,tardos,0.5,1,0.6,1.0,0.4375,0.6073998707540973,0.0184996768852431,,,,,,,,
2,300,128,20,101,0,tardos,0.5,2,0.6,1.0,0.4375,0.6158967698289681,0.0397419245724204,,,,,,0.0574741230360699,,
2,300,128,20,101,0,tardos,0.5,0,0.7,1.0,0.375,0.6737323447371805,0.0211970342115414,,,,,,,,
2,300,128,20,101,0,tardos,0.5,1,0.7,1.0,0.375,0.6692822946273549,0.0078468838820646,,,,,,,,
2,300,128,20,101,0,tardos,0.5,2,0.7,0.984375,0.375,0.6777791937022257,0.0333375811066773,,,,,,0.0574741230360699,,
2,300,128,20,101,0,tardos,0.5,0,0.8,1.0,0.25,0.8055921359813116,0.0279606799065579,,,,,,,,
2,300,128,20,101,0,tardos,0.5,1,0.8,1.0,0.25,0.801774209771819,0.0088710488590947,,,,,,,,
2,300,128,20,101,0,tardos,0.5,2,0.8,0.734375,0.25,0.8101766042281981,0.0508830211409907,,,,,,,,
2,300,128,20,101,0,tardos,0.5,0,0.9,0.8984375,0.125,0.9337755448364836,0.0066331725472554,,,,,,,,
2,300,128,20,101,0,tardos,0.5,1,0.9,1.0,0.125,0.9340842668567004,0.0112640028505054,,,,,,,,
2,300,128,20,101,0,tardos,0.5,2,0.9,0.4296875,0.125,0.9333462709617848,0.0001940644267724,,,,,,,,
2,300,128,20,102,0,tardos,0.5,0,0.1,1.0,0.875,0.1523581065409905,0.0219516613934505,0.0220743206372844,0.0022373348756229,0.0204198449070554,0.0612593274495357,0.0020380726621337,0.0421176549414194,,0.0802026428034978
2,300,128,20,102,0,tardos,0.5,1,0.1,1.0,0.875,0.1528588269957846,0.0225294157643669,,0.0022373348756229,,,0.0020380726621337,0.0421176549414194,,
2,300,128,20,102,0,tardos,0.5,2,0.1,1.0,0.875,0.1532514385794861,0.0229824291301763,0.0220743206372844,0.0022373348756229,0.0204198449070554,0.0612593274495357,0.0020380726621337,,0.008259787870347,
2,300,128,20,102,0,tardos,0.5,0,0.2,1.0,0.8125,0.2186484113201295,0.0233105141501619,0.0220743206372844,0.0022373348756229,0.0204198449070554,0.0612593274495357,0.0020380726621337,0.0421176549414194,,0.0802026428034978
2,300,128,20,102,0,tardos,0.5,1,0.2,1.0,0.8125,0.2148849796804843,0.0186062246006053,,0.0022373348756229,,,0.0020380726621337,0.0421176549414194,,
2,300,128,20,102,0,tardos,0.5,2,0.2,1.0,0.8125,0.2198587885767362,0.0248234857209202,0.0220743206372844,0.0022373348756229,0.0204198449070554,0.0612593274495357,,,,
2,300,128,20,102,0,tardos,0.5,0,0.3,1.0,0.75,0.2852919959076668,0.0253981762377275,0.0220743206372844,,,0.0612593274495357,0.0020380726621337,0.0421176549414194,,0.0802026428034978
2,300,128,20,102,0,tardos,0.5,1,0.3,1.0,0.75,0.2811752844596233,0.0197844788085773,,0.0022373348756229,,,0.0020380726621337,0.0421176549414194,,
2,300,128,20,102,0,tardos,0.5,2,0.3,1.0,0.75,0.2818849412614358,0.0207521926292306,0.0220743206372844,0.0022373348756229,0.0204198449070554,0.0612593274495357,,,,
2,300,128,20,102,0,tardos,0.5,0,0.4,1.0,0.625,0.4182104473059869,0.0303507455099782,0.0220743206372844,,,0.0612593274495357,,0.0421176549414194,,0.0802026428034978
2,300,128,20,102,0,tardos,0.5,1,0.4,1.0,0.625,0.4126107833499677,0.0210179722499462,,0.0022373348756229,,,0.0020380726621337,0.0421176549414194,,
2,300,128,20,102,0,tardos,0.5,2,0.4,1.0,0.625,0.4148033926597559,0.0246723210995932,0.0220743206372844,0.0022373348756229,0.0204198449070554,0.0612593274495357,,,,
2,300,128,20,102,0,tardos,0.5,0,0.5,1.0,0.5,0.5504314596413585,0.0366388420886253,,,,,,0.0421176549414194,,
2,300,128,20,102,0,tardos,0.5,1,0.5,1.0,0.5,0.5458169202419965,0.0267505433757068,,,,,,0.0421176549414194,,
2,300,128,20,102,0,tardos,0.5,2,0.5,1.0,0.5,0.5380718553018008,0.0101539756467158,0.0220743206372844,0.0022373348756229,0.0204198449070554,0.0612593274495357,,,,
2,300,128,20,102,0,tardos,0.5,0,0.6,0.9921875,0.4375,0.6163454687188199,0.0408636717970498,,,,,,0.0421176549414194,,
2,300,128,20,102,0,tardos,0.5,1,0.6,1.0,0.4375,0.6120157223096909,0.0300393057742272,,,,,,0.0421176549414194,,
2,300,128,20,102,0,tardos,0.5,2,0.6,1.0,0.4375,0.6035933451146837,0.0089833627867091,0.0220743206372844,0.0022373348756229,0.0204198449070554,0.0612593274495357,,,,
2,300,128,20,102,0,tardos,0.5,0,0.7,0.96875,0.375,0.6783716214035195,0.0351148642105586,,,,,,0.0421176549414194,,
2,300,128,20,102,0,tardos,0.5,1,0.7,1.0,0.375,0.678623072306941,0.0358692169208229,,,,,,0.0421176549414194,,
2,300,128,20,102,0,tardos,0.5,2,0.7,1.0,0.375,0.6702369297022209,0.0107107891066629,0.0220743206372844,,,0.0612593274495357,,,,
2,300,128,20,102,0,tardos,0.5,0,0.8,0.5859375,0.25,0.8108161992210181,0.0540809961050907,,,,,,,,
2,300,128,20,102,0,tardos,0.5,1,0.8,0.9140625,0.25,0.8110676501244396,0.055338250622198,,,,,,,,
2,300,128,20,102,0,tardos,0.5,2,0.8,1.0,0.25,0.8018478407828534,0.0092392039142668,,,,0.0612593274495357,,,,
2,300,128,20,102,0,tardos,0.5,0,0.9,0.421875,0.125,0.93339265000275,0.0008897500412489,,,,,,,,
2,300,128,20,102,0,tardos,0.5,1,0.9,0.546875,0.125,0.9347780027828516,0.0216700417427737,,,,,,,,
2,300,128,20,102,0,tardos,0.5,2,0.9,0.859375,0.125,0.9339777897323228,0.009666845984843,,,,,,,,
2,300,128,20,103,0,tardos,0.5,0,0.1,1.0,0.875,0.1529210393734057,0.0226011992770066,0.017935075974434,0.006350836397026,0.0154453189307454,0.0619247773854707,0.0019917255178264,,0.0104791229918478,
2,300,128,20,103,0,tardos,0.5,1,0.1,1.0,0.875,0.1438509626800937,0.0121357261693389,0.017935075974434,0.006350836397026,0.0154453189307454,0.0619247773854707,0.0019917255178264,0.0555979851151923,0.0104791229918478,0.0784644914588632
2,300,128,20,103,0,tardos,0.5,2,0.1,1.0,0.875,0.1525731545457799,0.0221997937066691,0.017935075974434,0.006350836397026,0.0154453189307454,0.0619247773854707,,0.0555979851151923,,0.0784644914588632
